,dt,AverageTemperature,AverageTemperatureUncertainty,Country
0,1796-01-01,17.044,2.044,India
1,1796-02-01,19.193,1.359,India
2,1796-03-01,22.319,2.125,India
3,1796-04-01,27.233,1.51,India
4,1796-05-01,30.035,1.338,India
5,1796-06-01,29.261,2.953,India
6,1796-07-01,26.8,2.19,India
7,1796-08-01,26.558,2.866,India
8,1796-09-01,25.958,3.275,India
9,1796-10-01,24.031,1.352,India
10,1796-11-01,20.186,2.787,India
11,1796-12-01,15.485,3.734,India
12,1797-01-01,,,India
13,1797-02-01,,,India
14,1797-03-01,22.879,1.73,India
15,1797-04-01,26.502,2.614,India
16,1797-05-01,29.364,2.11,India
17,1797-06-01,29.88,1.936,India
18,1797-07-01,26.891,2.181,India
19,1797-08-01,26.716,2.072,India
20,1797-09-01,26.072,2.842,India
21,1797-10-01,23.67,1.945,India
22,1797-11-01,19.323,1.578,India
23,1797-12-01,17.102,2.448,India
24,1798-01-01,17.226,1.759,India
25,1798-02-01,19.525,1.675,India
26,1798-03-01,24.328,1.494,India
27,1798-04-01,,,India
28,1798-05-01,,,India
29,1798-06-01,29.369,1.93,India
30,1798-07-01,27.968,2.165,India
31,1798-08-01,27.009,3.968,India
32,1798-09-01,25.973,2.499,India
33,1798-10-01,23.898,2.061,India
34,1798-11-01,20.709,2.29,India
35,1798-12-01,16.728,1.864,India
36,1799-01-01,16.648,1.911,India
37,1799-02-01,17.976,2.203,India
38,1799-03-01,23.08,2.245,India
39,1799-04-01,27.996,2.938,India
40,1799-05-01,30.217,1.382,India
41,1799-06-01,29.86,2.316,India
42,1799-07-01,27.178,1.89,India
43,1799-08-01,26.674,1.217,India
44,1799-09-01,26.105,2.258,India
45,1799-10-01,24.597,1.747,India
46,1799-11-01,20.158,1.49,India
47,1799-12-01,16.904,1.4,India
48,1800-01-01,17.081,1.654,India
49,1800-02-01,19.78,3.301,India
50,1800-03-01,22.938,2.662,India
51,1800-04-01,28.458,1.502,India
52,1800-05-01,29.372,1.322,India
53,1800-06-01,29.261,1.317,India
54,1800-07-01,26.494,1.71,India
55,1800-08-01,26.069,2.065,India
56,1800-09-01,24.999,2.037,India
57,1800-10-01,24.318,2.107,India
58,1800-11-01,20.625,2.349,India
59,1800-12-01,17.548,1.508,India
60,1801-01-01,17.433,1.443,India
61,1801-02-01,18.868,1.143,India
62,1801-03-01,25.084,1.661,India
63,1801-04-01,,,India
64,1801-05-01,,,India
65,1801-06-01,28.652,1.765,India
66,1801-07-01,27.272,2.513,India
67,1801-08-01,26.075,1.727,India
68,1801-09-01,25.598,1.339,India
69,1801-10-01,24.001,1.444,India
70,1801-11-01,20.492,1.417,India
71,1801-12-01,18.276,3.032,India
72,1802-01-01,17.904,1.791,India
73,1802-02-01,19.734,1.528,India
74,1802-03-01,24.829,1.746,India
75,1802-04-01,27.816,1.788,India
76,1802-05-01,29.209,1.828,India
77,1802-06-01,30.397,1.5,India
78,1802-07-01,27.826,1.517,India
79,1802-08-01,26.581,1.435,India
80,1802-09-01,26.699,1.764,India
81,1802-10-01,24.564,2.885,India
82,1802-11-01,20.258,1.664,India
83,1802-12-01,16.795,1.692,India
84,1803-01-01,15.603,1.764,India
85,1803-02-01,18.271,2.605,India
86,1803-03-01,23.323,1.891,India
87,1803-04-01,28.265,1.49,India
88,1803-05-01,30.257,1.55,India
89,1803-06-01,29.643,1.28,India
90,1803-07-01,27.876,1.357,India
91,1803-08-01,27.79,1.718,India
92,1803-09-01,26.732,1.584,India
93,1803-10-01,24.319,2.32,India
94,1803-11-01,20.749,1.978,India
95,1803-12-01,16.921,2.338,India
96,1804-01-01,17.443,3.427,India
97,1804-02-01,19.11,1.675,India
98,1804-03-01,23.215,3.059,India
99,1804-04-01,29.131,1.522,India
100,1804-05-01,30.692,1.631,India
101,1804-06-01,29.952,1.333,India
102,1804-07-01,28.694,2.112,India
103,1804-08-01,26.788,1.61,India
104,1804-09-01,26.513,2.946,India
105,1804-10-01,24.164,1.665,India
106,1804-11-01,21.624,3.057,India
107,1804-12-01,16.583,3.206,India
108,1805-01-01,17.173,1.473,India
109,1805-02-01,19.036,2.067,India
110,1805-03-01,23.942,1.208,India
111,1805-04-01,27.034,1.792,India
112,1805-05-01,30.077,1.203,India
113,1805-06-01,29.959,2.191,India
114,1805-07-01,27.069,1.561,India
115,1805-08-01,27.213,1.155,India
116,1805-09-01,25.936,1.955,India
117,1805-10-01,22.831,1.885,India
118,1805-11-01,19.951,2.549,India
119,1805-12-01,18.085,1.227,India
120,1806-01-01,17.092,1.634,India
121,1806-02-01,19.019,2.233,India
122,1806-03-01,23.013,1.658,India
123,1806-04-01,27.359,2.577,India
124,1806-05-01,29.971,1.668,India
125,1806-06-01,28.054,1.609,India
126,1806-07-01,26.995,1.428,India
127,1806-08-01,26.888,1.634,India
128,1806-09-01,26.855,1.874,India
129,1806-10-01,23.754,1.25,India
130,1806-11-01,20.452,1.633,India
131,1806-12-01,17.662,1.89,India
132,1807-01-01,15.975,2.125,India
133,1807-02-01,18.799,2.83,India
134,1807-03-01,,,India
135,1807-04-01,,,India
136,1807-05-01,27.873,1.598,India
137,1807-06-01,29.541,1.336,India
138,1807-07-01,27.631,1.999,India
139,1807-08-01,26.447,1.805,India
140,1807-09-01,26.465,1.514,India
141,1807-10-01,23.586,1.163,India
142,1807-11-01,20.375,1.97,India
143,1807-12-01,18.304,1.492,India
144,1808-01-01,,,India
145,1808-02-01,,,India
146,1808-03-01,,,India
147,1808-04-01,,,India
148,1808-05-01,,,India
149,1808-06-01,,,India
150,1808-07-01,,,India
151,1808-08-01,,,India
152,1808-09-01,,,India
153,1808-10-01,,,India
154,1808-11-01,,,India
155,1808-12-01,,,India
156,1809-01-01,,,India
157,1809-02-01,,,India
158,1809-03-01,,,India
159,1809-04-01,,,India
160,1809-05-01,,,India
161,1809-06-01,,,India
162,1809-07-01,,,India
163,1809-08-01,,,India
164,1809-09-01,,,India
165,1809-10-01,,,India
166,1809-11-01,,,India
167,1809-12-01,,,India
168,1810-01-01,,,India
169,1810-02-01,,,India
170,1810-03-01,,,India
171,1810-04-01,,,India
172,1810-05-01,,,India
173,1810-06-01,,,India
174,1810-07-01,,,India
175,1810-08-01,,,India
176,1810-09-01,,,India
177,1810-10-01,,,India
178,1810-11-01,,,India
179,1810-12-01,,,India
180,1811-01-01,,,India
181,1811-02-01,,,India
182,1811-03-01,,,India
183,1811-04-01,,,India
184,1811-05-01,,,India
185,1811-06-01,,,India
186,1811-07-01,,,India
187,1811-08-01,,,India
188,1811-09-01,,,India
189,1811-10-01,,,India
190,1811-11-01,,,India
191,1811-12-01,,,India
192,1812-01-01,,,India
193,1812-02-01,,,India
194,1812-03-01,,,India
195,1812-04-01,,,India
196,1812-05-01,,,India
197,1812-06-01,,,India
198,1812-07-01,,,India
199,1812-08-01,,,India
200,1812-09-01,,,India
201,1812-10-01,,,India
202,1812-11-01,,,India
203,1812-12-01,,,India
204,1813-01-01,14.479,2.782,India
205,1813-02-01,18.549,1.304,India
206,1813-03-01,21.409,5.277,India
207,1813-04-01,27.898,1.256,India
208,1813-05-01,30.54,4.591,India
209,1813-06-01,28.332,2.197,India
210,1813-07-01,26.881,1.656,India
211,1813-08-01,25.304,1.193,India
212,1813-09-01,25.773,1.683,India
213,1813-10-01,23.198,1.232,India
214,1813-11-01,21.076,1.365,India
215,1813-12-01,15.816,1.602,India
216,1814-01-01,15.45,2.818,India
217,1814-02-01,18.596,1.16,India
218,1814-03-01,22.213,1.736,India
219,1814-04-01,26.526,1.315,India
220,1814-05-01,,,India
221,1814-06-01,28.93,1.638,India
222,1814-07-01,25.53,2.672,India
223,1814-08-01,25.325,1.478,India
224,1814-09-01,24.583,1.304,India
225,1814-10-01,22.5,3.1,India
226,1814-11-01,21.007,4.345,India
227,1814-12-01,18.571,4.781,India
228,1815-01-01,15.915,2.2,India
229,1815-02-01,19.157,4.467,India
230,1815-03-01,22.208,2.973,India
231,1815-04-01,27.332,2.754,India
232,1815-05-01,29.24,3.093,India
233,1815-06-01,26.523,1.578,India
234,1815-07-01,26.316,2.536,India
235,1815-08-01,25.577,1.608,India
236,1815-09-01,25.154,1.309,India
237,1815-10-01,22.034,2.609,India
238,1815-11-01,18.865,1.966,India
239,1815-12-01,15.372,1.904,India
240,1816-01-01,16.376,4.049,India
241,1816-02-01,16.251,1.912,India
242,1816-03-01,22.414,1.484,India
243,1816-04-01,26.301,3.495,India
244,1816-05-01,29.514,2.011,India
245,1816-06-01,28.163,2.218,India
246,1816-07-01,25.06,1.475,India
247,1816-08-01,24.848,1.015,India
248,1816-09-01,23.977,0.993,India
249,1816-10-01,21.404,5.186,India
250,1816-11-01,18.967,6.089,India
251,1816-12-01,15.813,1.524,India
252,1817-01-01,15.916,4.174,India
253,1817-02-01,18.828,2.39,India
254,1817-03-01,22.551,1.555,India
255,1817-04-01,27.052,1.745,India
256,1817-05-01,28.28,1.945,India
257,1817-06-01,27.135,1.569,India
258,1817-07-01,25.614,1.664,India
259,1817-08-01,25.669,1.561,India
260,1817-09-01,23.313,2.474,India
261,1817-10-01,21.903,2.403,India
262,1817-11-01,19.313,2.148,India
263,1817-12-01,15.572,2.697,India
264,1818-01-01,16.076,3.074,India
265,1818-02-01,18.023,1.706,India
266,1818-03-01,23.085,1.558,India
267,1818-04-01,27.783,4.937,India
268,1818-05-01,29.952,2.935,India
269,1818-06-01,28.889,3.725,India
270,1818-07-01,25.302,2.884,India
271,1818-08-01,24.729,1.627,India
272,1818-09-01,24.058,1.452,India
273,1818-10-01,22.026,1.972,India
274,1818-11-01,19.335,4.398,India
275,1818-12-01,16.178,1.43,India
276,1819-01-01,14.385,2.081,India
277,1819-02-01,17.616,2.845,India
278,1819-03-01,22.021,5.902,India
279,1819-04-01,26.019,1.348,India
280,1819-05-01,28.662,1.219,India
281,1819-06-01,28.244,1.482,India
282,1819-07-01,25.901,1.101,India
283,1819-08-01,25.169,1.397,India
284,1819-09-01,24.613,0.979,India
285,1819-10-01,23.262,1.609,India
286,1819-11-01,19.983,1.474,India
287,1819-12-01,15.968,1.24,India
288,1820-01-01,14.902,4.208,India
289,1820-02-01,17.539,1.719,India
290,1820-03-01,22.622,1.686,India
291,1820-04-01,27.626,1.238,India
292,1820-05-01,29.083,1.364,India
293,1820-06-01,28.243,1.132,India
294,1820-07-01,25.972,2.486,India
295,1820-08-01,24.849,2.171,India
296,1820-09-01,24.896,1.711,India
297,1820-10-01,22.787,1.225,India
298,1820-11-01,19.562,1.243,India
299,1820-12-01,16.008,1.888,India
300,1821-01-01,17.268,2.727,India
301,1821-02-01,19.933,3.531,India
302,1821-03-01,23.809,1.599,India
303,1821-04-01,26.623,1.283,India
304,1821-05-01,29.613,1.576,India
305,1821-06-01,28.564,2.45,India
306,1821-07-01,26.174,1.744,India
307,1821-08-01,25.669,1.526,India
308,1821-09-01,24.188,1.295,India
309,1821-10-01,23.045,0.998,India
310,1821-11-01,20.411,2.299,India
311,1821-12-01,17.034,1.368,India
312,1822-01-01,17.522,2.84,India
313,1822-02-01,20.712,2.133,India
314,1822-03-01,25.528,1.562,India
315,1822-04-01,27.135,1.175,India
316,1822-05-01,29.57,1.272,India
317,1822-06-01,28.46,1.326,India
318,1822-07-01,26.667,1.089,India
319,1822-08-01,25.142,2.181,India
320,1822-09-01,24.52,1.653,India
321,1822-10-01,22.519,1.068,India
322,1822-11-01,19.336,1.57,India
323,1822-12-01,16.058,2.129,India
324,1823-01-01,16.882,1.567,India
325,1823-02-01,19.361,2.494,India
326,1823-03-01,23.47,1.495,India
327,1823-04-01,27.77,2.356,India
328,1823-05-01,29.427,1.344,India
329,1823-06-01,29.279,1.998,India
330,1823-07-01,26.703,1.282,India
331,1823-08-01,25.162,1.381,India
332,1823-09-01,23.894,1.247,India
333,1823-10-01,23.159,1.553,India
334,1823-11-01,19.397,2.925,India
335,1823-12-01,17.149,1.735,India
336,1824-01-01,17.323,1.277,India
337,1824-02-01,19.326,2.336,India
338,1824-03-01,23.737,1.458,India
339,1824-04-01,27.524,1.986,India
340,1824-05-01,29.551,1.485,India
341,1824-06-01,29.33,2.513,India
342,1824-07-01,28.039,2.991,India
343,1824-08-01,25.948,1.63,India
344,1824-09-01,25.79,1.601,India
345,1824-10-01,22.748,1.503,India
346,1824-11-01,20.546,1.571,India
347,1824-12-01,18.735,2.509,India
348,1825-01-01,17.412,2.315,India
349,1825-02-01,19.554,1.504,India
350,1825-03-01,23.61,1.934,India
351,1825-04-01,27.947,2.152,India
352,1825-05-01,29.516,1.295,India
353,1825-06-01,29.196,1.137,India
354,1825-07-01,26.856,2.081,India
355,1825-08-01,25.331,1.948,India
356,1825-09-01,24.905,1.579,India
357,1825-10-01,23.159,1.633,India
358,1825-11-01,21.021,1.626,India
359,1825-12-01,17.046,1.267,India
360,1826-01-01,17.047,1.304,India
361,1826-02-01,18.351,1.895,India
362,1826-03-01,23.743,1.47,India
363,1826-04-01,27.814,2.342,India
364,1826-05-01,30.463,1.398,India
365,1826-06-01,28.352,2.172,India
366,1826-07-01,27.152,1.275,India
367,1826-08-01,25.162,1.316,India
368,1826-09-01,24.969,1.881,India
369,1826-10-01,23.612,2.043,India
370,1826-11-01,21.067,1.149,India
371,1826-12-01,18.576,2.242,India
372,1827-01-01,17.876,2.532,India
373,1827-02-01,19.791,1.399,India
374,1827-03-01,24.153,1.916,India
375,1827-04-01,28.18,2.802,India
376,1827-05-01,29.563,2.334,India
377,1827-06-01,28.975,1.961,India
378,1827-07-01,27.285,1.356,India
379,1827-08-01,25.736,1.355,India
380,1827-09-01,24.674,1.172,India
381,1827-10-01,23.26,1.217,India
382,1827-11-01,21.007,1.185,India
383,1827-12-01,16.977,3.036,India
384,1828-01-01,16.118,2.725,India
385,1828-02-01,18.766,2.119,India
386,1828-03-01,23.678,1.991,India
387,1828-04-01,27.24,1.932,India
388,1828-05-01,29.547,2.206,India
389,1828-06-01,29.688,2.029,India
390,1828-07-01,27.167,1.411,India
391,1828-08-01,25.722,1.653,India
392,1828-09-01,23.899,1.162,India
393,1828-10-01,23.406,1.445,India
394,1828-11-01,20.851,1.465,India
395,1828-12-01,17.402,2.151,India
396,1829-01-01,16.815,1.529,India
397,1829-02-01,18.199,2.453,India
398,1829-03-01,23.331,1.424,India
399,1829-04-01,27.007,1.309,India
400,1829-05-01,29.775,2.861,India
401,1829-06-01,28.769,1.994,India
402,1829-07-01,26.73,1.509,India
403,1829-08-01,25.577,1.45,India
404,1829-09-01,24.601,1.499,India
405,1829-10-01,23.758,1.759,India
406,1829-11-01,19.862,2.411,India
407,1829-12-01,16.898,3.599,India
408,1830-01-01,17.047,2.38,India
409,1830-02-01,19.756,1.684,India
410,1830-03-01,23.056,1.384,India
411,1830-04-01,27.494,1.49,India
412,1830-05-01,27.903,1.915,India
413,1830-06-01,28.626,2.28,India
414,1830-07-01,27.355,1.724,India
415,1830-08-01,25.439,1.741,India
416,1830-09-01,24.538,1.864,India
417,1830-10-01,23.198,2.462,India
418,1830-11-01,21.574,1.872,India
419,1830-12-01,18.082,1.93,India
420,1831-01-01,16.565,2.079,India
421,1831-02-01,19.147,3.771,India
422,1831-03-01,23.557,2.902,India
423,1831-04-01,26.69,1.187,India
424,1831-05-01,29.921,2.44,India
425,1831-06-01,29.209,2.037,India
426,1831-07-01,26.245,1.489,India
427,1831-08-01,24.907,1.479,India
428,1831-09-01,24.056,1.387,India
429,1831-10-01,22.794,1.465,India
430,1831-11-01,19.301,3.983,India
431,1831-12-01,16.508,3.141,India
432,1832-01-01,16.078,1.742,India
433,1832-02-01,18.202,2.006,India
434,1832-03-01,23.534,1.741,India
435,1832-04-01,27.598,2.881,India
436,1832-05-01,29.973,2.338,India
437,1832-06-01,,,India
438,1832-07-01,27.105,2.123,India
439,1832-08-01,25.394,2.276,India
440,1832-09-01,24.211,1.896,India
441,1832-10-01,23.036,2.079,India
442,1832-11-01,19.455,1.184,India
443,1832-12-01,,,India
444,1833-01-01,16.995,2.545,India
445,1833-02-01,19.381,1.451,India
446,1833-03-01,23.141,2.343,India
447,1833-04-01,26.902,1.459,India
448,1833-05-01,28.941,1.521,India
449,1833-06-01,29.161,1.851,India
450,1833-07-01,26.9,1.425,India
451,1833-08-01,25.213,1.51,India
452,1833-09-01,24.817,1.339,India
453,1833-10-01,22.958,1.412,India
454,1833-11-01,20.702,1.566,India
455,1833-12-01,17.468,2.363,India
456,1834-01-01,15.609,1.725,India
457,1834-02-01,19.172,2.084,India
458,1834-03-01,23.655,2.106,India
459,1834-04-01,26.768,2.006,India
460,1834-05-01,30.234,1.429,India
461,1834-06-01,28.376,2.203,India
462,1834-07-01,26.552,1.407,India
463,1834-08-01,25.474,1.177,India
464,1834-09-01,25.195,1.988,India
465,1834-10-01,23.129,1.001,India
466,1834-11-01,20.486,1.759,India
467,1834-12-01,17.704,1.268,India
468,1835-01-01,16.966,2.011,India
469,1835-02-01,19.085,1.98,India
470,1835-03-01,22.397,1.135,India
471,1835-04-01,26.15,1.941,India
472,1835-05-01,28.282,1.2,India
473,1835-06-01,27.61,1.609,India
474,1835-07-01,25.674,1.487,India
475,1835-08-01,24.582,1.333,India
476,1835-09-01,24.038,1.401,India
477,1835-10-01,22.62,1.061,India
478,1835-11-01,18.8,1.398,India
479,1835-12-01,15.693,1.475,India
480,1836-01-01,16.279,0.967,India
481,1836-02-01,18.658,1.441,India
482,1836-03-01,22.974,1.364,India
483,1836-04-01,26.581,1.242,India
484,1836-05-01,29.178,1.681,India
485,1836-06-01,28.739,1.215,India
486,1836-07-01,26.399,1.314,India
487,1836-08-01,25.049,1.688,India
488,1836-09-01,25.011,1.997,India
489,1836-10-01,23.705,3.851,India
490,1836-11-01,19.315,1.797,India
491,1836-12-01,17.222,2.086,India
492,1837-01-01,16.974,1.75,India
493,1837-02-01,19.469,1.399,India
494,1837-03-01,22.557,1.904,India
495,1837-04-01,25.811,1.412,India
496,1837-05-01,28.233,1.522,India
497,1837-06-01,28.064,1.655,India
498,1837-07-01,26.407,1.122,India
499,1837-08-01,25.428,0.939,India
500,1837-09-01,25.252,1.441,India
501,1837-10-01,23.036,2.075,India
502,1837-11-01,19.7,2.113,India
503,1837-12-01,17.264,3.275,India
504,1838-01-01,14.552,2.209,India
505,1838-02-01,18.164,1.283,India
506,1838-03-01,22.433,1.39,India
507,1838-04-01,27.11,1.428,India
508,1838-05-01,28.662,1.124,India
509,1838-06-01,28.632,1.447,India
510,1838-07-01,27.264,2.69,India
511,1838-08-01,25.756,2.44,India
512,1838-09-01,25.333,1.319,India
513,1838-10-01,23.542,2.895,India
514,1838-11-01,19.936,2.211,India
515,1838-12-01,16.931,1.958,India
516,1839-01-01,17.08,1.502,India
517,1839-02-01,19.788,1.624,India
518,1839-03-01,21.856,1.68,India
519,1839-04-01,27.024,1.343,India
520,1839-05-01,28.879,1.07,India
521,1839-06-01,28.301,1.165,India
522,1839-07-01,26.879,2.26,India
523,1839-08-01,25.681,1.644,India
524,1839-09-01,24.73,1.273,India
525,1839-10-01,23.599,1.702,India
526,1839-11-01,18.948,1.641,India
527,1839-12-01,16.172,2.012,India
528,1840-01-01,17.353,1.914,India
529,1840-02-01,19.266,2.051,India
530,1840-03-01,22.937,1.691,India
531,1840-04-01,27.185,1.651,India
532,1840-05-01,29.242,1.71,India
533,1840-06-01,28.615,1.713,India
534,1840-07-01,27.185,0.99,India
535,1840-08-01,25.486,1.201,India
536,1840-09-01,24.75,1.025,India
537,1840-10-01,23.075,1.54,India
538,1840-11-01,19.404,3.221,India
539,1840-12-01,16.844,1.19,India
540,1841-01-01,16.706,2.494,India
541,1841-02-01,19.124,1.138,India
542,1841-03-01,22.343,2.852,India
543,1841-04-01,26.193,1.596,India
544,1841-05-01,28.79,1.348,India
545,1841-06-01,28.487,1.209,India
546,1841-07-01,27.141,1.226,India
547,1841-08-01,25.486,1.628,India
548,1841-09-01,25.078,0.978,India
549,1841-10-01,22.989,1.365,India
550,1841-11-01,19.971,1.338,India
551,1841-12-01,16.821,1.745,India
552,1842-01-01,16.59,1.433,India
553,1842-02-01,19.183,1.713,India
554,1842-03-01,23.559,2.282,India
555,1842-04-01,27.206,1.459,India
556,1842-05-01,29.148,0.926,India
557,1842-06-01,28.21,1.08,India
558,1842-07-01,26.667,1.407,India
559,1842-08-01,25.333,1.181,India
560,1842-09-01,24.59,1.303,India
561,1842-10-01,23.055,1.293,India
562,1842-11-01,19.829,1.357,India
563,1842-12-01,17.601,1.077,India
564,1843-01-01,17.105,1.641,India
565,1843-02-01,19.783,1.541,India
566,1843-03-01,22.84,1.582,India
567,1843-04-01,26.628,1.305,India
568,1843-05-01,28.404,1.275,India
569,1843-06-01,28.228,0.965,India
570,1843-07-01,26.735,0.963,India
571,1843-08-01,25.625,1.246,India
572,1843-09-01,25.035,0.878,India
573,1843-10-01,23.177,1.147,India
574,1843-11-01,19.531,0.813,India
575,1843-12-01,16.657,2.745,India
576,1844-01-01,16.37,1.056,India
577,1844-02-01,17.971,1.624,India
578,1844-03-01,23.072,1.822,India
579,1844-04-01,26.745,1.123,India
580,1844-05-01,28.368,1.144,India
581,1844-06-01,28.341,0.843,India
582,1844-07-01,26.32,1.029,India
583,1844-08-01,25.485,2.326,India
584,1844-09-01,24.646,0.894,India
585,1844-10-01,23.156,1.013,India
586,1844-11-01,19.836,0.994,India
587,1844-12-01,16.819,1.484,India
588,1845-01-01,16.9,1.44,India
589,1845-02-01,18.51,2.085,India
590,1845-03-01,23.43,1.085,India
591,1845-04-01,26.783,1.599,India
592,1845-05-01,29.158,0.941,India
593,1845-06-01,28.252,1.067,India
594,1845-07-01,26.902,0.941,India
595,1845-08-01,25.795,0.931,India
596,1845-09-01,25.258,1.019,India
597,1845-10-01,23.05,0.994,India
598,1845-11-01,19.824,0.961,India
599,1845-12-01,16.256,1.749,India
600,1846-01-01,17.963,1.621,India
601,1846-02-01,19.517,1.028,India
602,1846-03-01,24.426,1.68,India
603,1846-04-01,26.804,1.485,India
604,1846-05-01,29.276,1.266,India
605,1846-06-01,28.723,1.979,India
606,1846-07-01,27.418,1.776,India
607,1846-08-01,26.14,1.384,India
608,1846-09-01,25.14,1.7,India
609,1846-10-01,22.828,1.218,India
610,1846-11-01,20.151,1.506,India
611,1846-12-01,17.244,1.348,India
612,1847-01-01,17.203,2.948,India
613,1847-02-01,19.184,1.797,India
614,1847-03-01,22.714,1.155,India
615,1847-04-01,27.143,1.142,India
616,1847-05-01,28.803,1.107,India
617,1847-06-01,28.256,1.32,India
618,1847-07-01,26.877,1.378,India
619,1847-08-01,25.736,1.086,India
620,1847-09-01,25.202,1.114,India
621,1847-10-01,23.179,1.108,India
622,1847-11-01,19.965,1.343,India
623,1847-12-01,15.558,1.132,India
624,1848-01-01,15.931,1.7,India
625,1848-02-01,19.245,1.429,India
626,1848-03-01,22.931,0.808,India
627,1848-04-01,26.672,1.183,India
628,1848-05-01,28.837,1.305,India
629,1848-06-01,27.942,1.836,India
630,1848-07-01,26.885,1.544,India
631,1848-08-01,25.693,1.262,India
632,1848-09-01,25.08,1.285,India
633,1848-10-01,23.107,1.24,India
634,1848-11-01,19.552,0.867,India
635,1848-12-01,16.856,1.182,India
636,1849-01-01,16.002,0.947,India
637,1849-02-01,18.572,1.995,India
638,1849-03-01,23.277,2.014,India
639,1849-04-01,26.931,1.744,India
640,1849-05-01,28.961,0.864,India
641,1849-06-01,27.975,1.554,India
642,1849-07-01,26.631,1.065,India
643,1849-08-01,25.641,1.174,India
644,1849-09-01,25.006,1.294,India
645,1849-10-01,23.396,1.518,India
646,1849-11-01,20.333,1.185,India
647,1849-12-01,15.966,1.385,India
648,1850-01-01,15.898,1.358,India
649,1850-02-01,18.741,1.758,India
650,1850-03-01,22.975,2.893,India
651,1850-04-01,26.744,1.297,India
652,1850-05-01,28.587,0.867,India
653,1850-06-01,28.79,0.902,India
654,1850-07-01,27.063,0.888,India
655,1850-08-01,26.111,1.1,India
656,1850-09-01,25.492,0.792,India
657,1850-10-01,24.488,2.35,India
658,1850-11-01,20.602,3.049,India
659,1850-12-01,16.564,1.073,India
660,1851-01-01,16.091,1.211,India
661,1851-02-01,18.646,1.266,India
662,1851-03-01,22.994,1.343,India
663,1851-04-01,26.714,1.263,India
664,1851-05-01,29.508,1.035,India
665,1851-06-01,28.498,1.188,India
666,1851-07-01,26.798,1.41,India
667,1851-08-01,26.045,1.135,India
668,1851-09-01,25.681,1.038,India
669,1851-10-01,24.015,1.537,India
670,1851-11-01,19.906,1.144,India
671,1851-12-01,16.926,2.26,India
672,1852-01-01,16.816,1.927,India
673,1852-02-01,19.474,1.598,India
674,1852-03-01,22.372,1.307,India
675,1852-04-01,26.567,1.643,India
676,1852-05-01,29.053,1.48,India
677,1852-06-01,28.549,0.916,India
678,1852-07-01,26.79,1.313,India
679,1852-08-01,25.687,1.091,India
